instance,ga_mean,ga_max,ga_std,ga_time,greedy,greedy_time,ilp,ilp_time
V500E1000,10871.8,17538,3345.476911,510.1397,8429,238.267,5678,0.056
V500E2000,6442.3,6903,251.998433,597.021,6160,304.073,3606,0.21
V500E5000,3016.8,3349,162.130688,575.5057,3582,348.533,1786,3.718
V800E1000,27741.0,27741,0.0,542.5706,16064,1250.566,10864,0.079
V800E2000,26540.7,27741,3600.9,566.1559,12284,1691.297,7880,0.122
V800E5000,9699.6,10042,251.052265,601.8889,7394,2163.48,4412,0.702
V1000E1000,34260.0,34260,0.0,604.8272,20994,2746.765,14660,0.199
V1000E5000,26615.0,34260,9371.506144,604.0012,10724,5425.016,6512,1.089
V1000E10000,10436.9,11169,388.295622,605.1191,7324,6346.143,3924,28.95
