instance,ga_mean,ga_max,ga_std,ga_time,greedy,greedy_time,ilp,ilp_time
V50E50,0,0,0,0,1124,0.026,814,0.009
V50E100,0,0,0,0,1084,0.052,668,0.011
V50E250,0,0,0,0,613,0.074,357,0.032
V150E150,0,0,0,0,3322,1.626,2285,0.015
V150E250,0,0,0,0,2782,2.17,1890,0.017
V150E500,0,0,0,0,1952,2.562,1244,0.061
V250E250,0,0,0,0,5557,12.748,3846,0.02
V250E500,0,0,0,0,4675,17.93,2952,0.026
V250E750,0,0,0,0,4182,19.241,2350,0.029
