instance,ga_mean,ga_max,ga_std,ga_time,greedy,greedy_time,ilp,ilp_time
V50E50,990.2,1040,37.383954,1.6488,1124,0.026,814,0.009
V50E100,813.2,887,37.530787,1.6866,1084,0.052,668,0.011
V50E250,459.6,548,41.309079,1.5857,613,0.074,357,0.032
V150E150,3231.7,3387,118.617073,6.1681,3322,1.626,2285,0.015
V150E250,3038.5,3174,110.344234,6.6249,2782,2.17,1890,0.017
V150E500,2277,2556,161.353649,6.919,1952,2.562,1244,0.061
V250E250,6023.7,6232,170.475247,13.4663,5557,12.748,3846,0.02
V250E500,5329.6,5838,244.260189,14.222,4675,17.93,2952,0.026
V250E750,4767,4953,119.132699,14.3403,4182,19.241,2350,0.029
