instance,ga_mean,ga_max,ga_std,ga_time,greedy,greedy_time,ilp,ilp_time
V50E500,0,0,0,0,342,0.05,161,0.022
V50E750,0,0,0,0,291,0.045,131,0.014
V50E1000,0,0,0,0,214,0.038,104,0.014
V150E750,0,0,0,0,1508,2.625,866,0.042
V150E1000,0,0,0,0,1246,2.707,726,0.569
V150E2000,0,0,0,0,850,2.627,428,0.207
V250E1000,0,0,0,0,3497,20.719,1902,0.058
V250E2000,0,0,0,0,2314,22.126,1150,0.106
V250E3000,0,0,0,0,1562,22.03,824,1.004
