instance,ga_mean,ga_max,ga_std,ga_time,greedy,greedy_time,ilp,ilp_time
V500E1000,9654.7,10145,218.75148,265.1614,8429,238.267,5678,0.056
V500E2000,6837.1,7446,319.51978,268.3955,6160,304.073,3606,0.21
V500E5000,4087.7,4362,131.617666,279.8065,3582,348.533,1786,3.718
V800E1000,27033.4,27741,2122.8,360.785,16064,1250.566,10864,0.079
V800E2000,21952.1,27741,5798.127516,361.098,12284,1691.297,7880,0.122
V800E5000,10649.1,11790,574.19656,361.1503,7394,2163.48,4412,0.702
V1000E1000,34260,34260,0,361.7012,20994,2746.765,14660,0.199
V1000E5000,15961.3,17143,547.638941,362.335,10724,5425.016,6512,1.089
V1000E10000,11953.9,12856,357.462851,361.1336,7324,6346.143,3924,28.95
