instance,ga_mean,ga_max,ga_std,ga_time,greedy,greedy_time,ilp,ilp_time
V50E50,798.0,798,0.0,13.9851,1124,0.026,814,0.009
V50E100,650.0,650,0.0,16.0633,1084,0.052,668,0.011
V50E250,399.0,399,0.0,30.5968,613,0.074,357,0.032
V150E150,2259.3,2280,6.9,61.5388,3322,1.626,2285,0.015
V150E250,1998.0,2008,15.277434,82.334,2782,2.17,1890,0.017
V150E500,1429.9,1450,12.136309,111.5937,1952,2.562,1244,0.061
V250E250,3888.5,3943,20.934421,142.5164,5557,12.748,3846,0.02
V250E500,3147.2,3214,43.06228,183.1843,4675,17.93,2952,0.026
V250E750,2715.3,2788,41.653451,190.3039,4182,19.241,2350,0.029
